"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,1869,0.00064674194
0,1872,0.000646206
0,1875,0.0006456663
0,1878,0.00064512296
0,1881,0.0006445759
0,1884,0.0006440252
0,1887,0.0006434709
0,1890,0.000642913
0,1893,0.00064235146
0,1896,0.0006417863
0,1899,0.0006412177
0,1902,0.0006406455
0,1905,0.0006400698
0,1908,0.0006394906
0,1911,0.00063890795
0,1914,0.00063832186
0,1917,0.00063773233
0,1920,0.00063713937
0,1923,0.0006365431
0,1926,0.0006359434
0,1929,0.0006353404
0,1932,0.00063473405
0,1935,0.0006341244
0,1938,0.00063351146
0,1941,0.0006328953
0,1944,0.0006322759
0,1947,0.00063165324
0,1950,0.0006310274
0,1953,0.0006303984
0,1956,0.00062976626
0,1959,0.000629131
0,1962,0.00062849256
0,1965,0.00062785106
0,1968,0.00062720646
0,1971,0.00062655885
0,1974,0.0006259082
0,1977,0.0006252545
0,1980,0.0006245979
0,1983,0.0006239383
0,1986,0.0006232757
0,1989,0.0006226102
0,1992,0.0006219418
0,1995,0.00062127056
0,1998,0.0006205964
0,2001,0.00061991945
0,2004,0.0006192396
0,2007,0.000618557
0,2010,0.0006178716
0,2013,0.0006171834
0,2016,0.0006164925
0,2019,0.00061579887
0,2022,0.00061510253
0,2025,0.0006144035
0,2028,0.0006137019
0,2031,0.00061299757
0,2034,0.00061229063
0,2037,0.0006115811
0,2040,0.00061086897
0,2043,0.0006101543
0,2046,0.00060943706
0,2049,0.0006087173
0,2052,0.0006079951
0,2055,0.0006072704
0,2058,0.0006065432
0,2061,0.0006058136
0,2064,0.00060508156
0,2067,0.0006043471
0,2070,0.0006036103
0,2073,0.0006028711
0,2076,0.0006021296
0,2079,0.0006013857
0,2082,0.0006006396
0,2085,0.0005998912
0,2088,0.0005991405
0,2091,0.00059838756
0,2094,0.0005976324
0,2097,0.000596875
0,2100,0.0005961154
0,2103,0.0005953537
0,2106,0.00059458986
0,2109,0.00059382385
0,2112,0.00059305574
0,2115,0.00059228553
0,2118,0.0005915133
0,2121,0.00059073896
0,2124,0.0005899626
0,2127,0.00058918423
0,2130,0.0005884039
0,2133,0.00058762153
0,2136,0.00058683724
0,2139,0.00058605097
0,2142,0.00058526284
0,2145,0.0005844728
0,2148,0.0005836808
0,2151,0.00058288703
0,2154,0.0005820914
0,2157,0.0005812939
0,2160,0.0005804946
